Seconds,ArmyVal,MinRate,GasRate,StructVal,UpgMin,UpgGas,StructPerim,ArmyDist
0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,
0.9822109999999998,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,
1.964423,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,
2.946634,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,
3.9288454,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,
4.911057,0.0,102.0,0.0,400.0,0.0,0.0,0.0,0.0,
5.8932684,0.0,185.0,0.0,400.0,0.0,0.0,0.0,0.0,
6.875479999999999,0.0,327.0,0.0,400.0,0.0,0.0,0.0,0.0,
7.8576914,0.0,383.0,0.0,400.0,0.0,0.0,0.0,0.0,
8.839902400000001,0.0,347.4,0.0,400.0,0.0,0.0,0.0,0.0,
9.8221144,0.0,346.2,0.0,400.0,0.0,0.0,0.0,0.0,
10.8043254,0.0,469.4,0.0,400.0,0.0,0.0,0.0,0.0,
11.7865364,0.0,525.4,0.0,400.0,0.0,0.0,0.0,0.0,
12.768748400000002,0.0,631.8,0.0,400.0,0.0,0.0,0.0,0.0,
13.7509594,0.0,637.4,0.0,400.0,0.0,0.0,0.0,0.0,
14.733171000000002,0.0,637.4,0.0,400.0,0.0,0.0,0.0,0.0,
15.7153828,0.0,721.4,0.0,400.0,0.0,0.0,0.0,0.0,
16.697594799999997,0.0,676.6,0.0,400.0,0.0,0.0,0.0,0.0,
17.679804800000003,0.0,659.8,0.0,400.0,0.0,0.0,0.0,0.0,
18.662016800000004,0.0,648.6,0.0,400.0,0.0,0.0,0.0,0.0,
19.6442288,0.0,654.2,0.0,400.0,0.0,0.0,0.0,0.0,
20.6264388,0.0,704.6,0.0,420.0,0.0,0.0,0.0,0.0,
21.6086508,0.0,682.2,0.0,440.0,0.0,0.0,0.0,0.0,
22.5908628,0.0,654.2,0.0,440.0,0.0,0.0,0.0,0.0,
23.5730728,0.0,659.8,0.0,440.0,0.0,0.0,0.0,0.0,
24.5552854,0.0,671.0,0.0,440.0,0.0,0.0,0.0,0.0,
25.5374974,0.0,749.4,0.0,440.0,0.0,0.0,0.0,0.0,
26.519707800000003,0.0,654.2,0.0,440.0,0.0,0.0,0.0,0.0,
27.501919799999996,0.0,693.4,0.0,440.0,0.0,0.0,0.0,0.0,
28.484130600000004,0.0,648.6,0.0,440.0,0.0,0.0,0.0,0.0,
29.4663418,0.0,699.0,0.0,440.0,0.0,0.0,0.0,0.0,
30.448553800000003,0.0,749.4,0.0,440.0,0.0,0.0,0.0,0.0,
31.430764599999996,0.0,699.0,0.0,440.0,0.0,0.0,0.0,0.0,
32.4129766,0.0,715.8,0.0,440.0,0.0,0.0,0.0,0.0,
33.3951886,0.0,704.6,0.0,440.0,0.0,0.0,0.0,0.0,
34.377399,0.0,738.2,0.0,440.0,0.0,0.0,0.0,0.0,
35.359609600000006,0.0,777.4,0.0,440.0,0.0,0.0,0.0,0.0,
36.3418216,0.0,715.8,0.0,440.0,0.0,0.0,0.0,0.0,
37.32403360000001,0.0,704.6,0.0,440.0,0.0,0.0,0.0,0.0,
38.3062456,0.0,721.4,0.0,480.0,0.0,0.0,0.0,0.0,
39.2884576,0.0,766.2,0.0,480.0,0.0,0.0,0.0,0.0,
40.270668,0.0,755.0,0.0,500.0,0.0,0.0,0.0,0.0,
41.2528776,0.0,743.8,0.0,560.0,0.0,0.0,12.5,0.0,
42.235089599999995,0.0,766.2,0.0,560.0,0.0,0.0,12.5,0.0,
43.2173016,0.0,749.4,0.0,560.0,0.0,0.0,12.5,0.0,
44.1995136,0.0,811.0,0.0,560.0,0.0,0.0,12.5,0.0,
45.1817262,0.0,749.4,0.0,560.0,0.0,0.0,12.5,0.0,
46.163934600000005,0.0,771.8,0.0,560.0,0.0,0.0,12.5,0.0,
47.146146599999994,0.0,777.4,0.0,560.0,0.0,0.0,12.5,0.0,
48.1283586,0.0,760.6,0.0,560.0,0.0,0.0,12.5,0.0,
49.110570599999996,0.0,811.0,0.0,560.0,0.0,0.0,12.5,0.0,
50.0927826,0.0,788.6,0.0,560.0,0.0,0.0,12.5,0.0,
51.074994600000004,0.0,771.8,0.0,560.0,0.0,0.0,12.5,0.0,
52.057202600000004,0.0,783.0,0.0,560.0,0.0,0.0,12.5,0.0,
53.03941460000001,0.0,788.6,0.0,560.0,0.0,0.0,12.5,0.0,
54.02162719999999,0.0,760.6,0.0,560.0,0.0,0.0,12.5,0.0,
55.003839199999994,0.0,805.4,0.0,560.0,0.0,0.0,12.5,0.0,
55.9860512,0.0,760.6,0.0,560.0,0.0,0.0,12.5,0.0,
56.96826120000001,0.0,788.6,0.0,620.0,0.0,0.0,93.85,0.0,
57.9504732,0.0,816.6,0.0,620.0,0.0,0.0,93.85,0.0,
58.9326836,0.0,811.0,0.0,680.0,0.0,0.0,73.2,0.0,
59.9148956,0.0,794.2,0.0,740.0,0.0,0.0,105.9,0.0,
60.897107600000005,30.0,788.6,0.0,800.0,0.0,0.0,104.7,11.5326874,
61.879319599999995,30.0,788.6,0.0,830.0,0.0,0.0,154.55,11.530497,
62.86152919999999,60.0,827.8,0.0,890.0,0.0,0.0,165.8,22.0091126,
63.8437418,60.0,799.8,0.0,890.0,0.0,0.0,165.8,22.013495,
64.82595380000001,60.0,816.6,0.0,890.0,0.0,0.0,165.8,22.0131676,
65.8081622,60.0,777.4,0.0,890.0,0.0,0.0,165.8,22.0144424,
66.7903778,60.0,816.6,0.0,890.0,0.0,0.0,165.8,22.012041399999998,
67.7725862,60.0,799.8,0.0,940.0,0.0,0.0,471.1,22.0923372,
68.754799,60.0,822.2,0.0,970.0,0.0,0.0,482.5,22.1726478,
69.7370102,60.0,811.0,0.0,1000.0,0.0,0.0,481.1,22.179174,
